cell_line,phase,time_point,old_centroids,new_centroids
spen_mutant,Initiation,80,0,50
spen_mutant,Initiation,80,0,25
spen_mutant,Initiation,80,0,122
spen_mutant,Initiation,80,0,63
spen_mutant,Initiation,80,0,209
spen_mutant,Initiation,80,0,36
spen_mutant,Initiation,80,0,82
spen_mutant,Initiation,80,0,24
spen_mutant,Initiation,80,0,185
spen_mutant,Initiation,80,0,34
spen_mutant,Initiation,80,0,117
spen_mutant,Initiation,80,0,86
spen_mutant,Initiation,80,0,127
spen_mutant,Initiation,80,0,332
spen_mutant,Initiation,80,0,130
spen_mutant,Initiation,80,0,114
spen_mutant,Initiation,80,0,224
spen_mutant,Initiation,80,0,76
spen_mutant,Initiation,80,0,47
spen_mutant,Initiation,100,0,31
spen_mutant,Initiation,100,0,52
spen_mutant,Initiation,100,0,293
spen_mutant,Initiation,100,0,122
spen_mutant,Initiation,100,0,83
spen_mutant,Initiation,100,0,184
spen_mutant,Initiation,100,0,73
spen_mutant,Initiation,100,0,272
spen_mutant,Initiation,100,0,66
spen_mutant,Initiation,100,0,149
spen_mutant,Initiation,100,0,164
spen_mutant,Initiation,100,0,79
spen_mutant,Initiation,100,0,57
spen_mutant,Initiation,100,0,249
spen_mutant,Initiation,100,0,84
spen_mutant,Initiation,100,0,331
spen_mutant,Initiation,100,0,117
spen_mutant,Initiation,100,0,274
spen_mutant,Initiation,100,0,207
spen_mutant,Initiation,100,0,97
spen_mutant,Initiation,100,0,50
spen_mutant,Initiation,100,0,179
spen_mutant,Initiation,100,0,54
spen_mutant,Initiation,100,0,150
spen_mutant,Initiation,100,0,99
spen_mutant,Initiation,100,0,107
spen_mutant,Initiation,100,0,124
spen_mutant,Initiation,100,0,255
spen_mutant,Initiation,100,0,109
spen_mutant,Initiation,100,0,80
spen_mutant,Initiation,100,0,67
spen_mutant,Initiation,100,0,80
spen_mutant,Initiation,100,0,62
spen_mutant,Initiation,100,0,52
spen_mutant,Initiation,100,0,113
spen_mutant,Initiation,60,0,106
spen_mutant,Initiation,60,0,89
